step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,diag_mode,diag_setpoint,elapsed_s
0,1786852978.7731893,-1.1983888938532037,0.0,0.0,0.38200871902233596,0.334764499814586,0.7515609402448085,0.3893489970257898,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.03640000068116933,open_loop,0.0,0.0
1,1786852978.9251633,-1.1449553267326336,0.0,0.0,0.3361172174709805,0.41109816712968605,0.7925727379277167,0.323789709095282,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05160000000614673,open_loop,0.0,0.15197396278381348
2,1786852979.075612,-1.346012990693758,0.0,0.0,0.43093219688854334,0.10097283270497864,0.8011098004183187,0.4789074660709527,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05249999958323315,open_loop,0.0,0.30242276191711426
3,1786852979.2261355,-1.5007988278531328,0.0,0.0,0.38245052558876724,-0.03398222153936098,0.830477753648203,0.36901294446374555,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05360000068321824,open_loop,0.0,0.45294618606567383
4,1786852979.376648,-1.238053247615179,0.0,0.0,0.3352893470891334,0.40770539472601924,0.8698706903129794,0.322417691449887,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05190000229049474,open_loop,0.0,0.6034586429595947
5,1786852979.5270948,-1.6095884583421303,0.0,0.0,0.27571962757408497,-0.2356644407001769,0.885402461163617,0.2575300257853752,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05119999696034938,open_loop,0.0,0.7539055347442627
6,1786852979.677626,-1.3806300959670392,0.0,0.0,0.27423091011440587,0.2506483101472178,0.9416388673552075,0.28093316634942583,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.053499999921768904,open_loop,0.0,0.9044365882873535
7,1786852979.8280838,-1.665980970373192,0.0,0.0,0.31894442338151424,-0.2551208085937535,0.9859299211278401,0.34544763564230024,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05359999340726063,open_loop,0.0,1.0548944473266602
8,1786852979.9785767,-1.3684883165551405,0.0,0.0,0.3266992864412326,0.2921619287489569,1.0182002577896712,0.33736307718456576,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05320000491337851,open_loop,0.0,1.2053873538970947
9,1786852980.1290503,-1.5224805949791447,0.0,0.0,0.2523507344237198,-0.05532389206449995,1.103949567670664,0.2278273472768111,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.052600000344682485,open_loop,0.0,1.355860948562622
