step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,diag_mode,diag_setpoint,elapsed_s
0,1786852974.7091093,-0.8272062353156184,0.0,0.0,0.09553895779715245,0.7059471583521713,0.09821492443524388,0.10287923580060629,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.038899997889529914,open_loop,0.0,0.0
1,1786852974.86115,-1.2721772315986983,0.0,0.0,0.22874197158220833,0.07027430651919983,0.20907194284771324,0.2931692554935433,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05980000423733145,open_loop,0.0,0.15204071998596191
2,1786852975.0116494,-1.4108982857572856,0.0,0.0,0.2443616899896915,0.06280322755682383,0.2141223302279634,0.2583961330249238,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05699999746866524,open_loop,0.0,0.3025400638580322
3,1786852975.162153,-1.1765979176559977,0.0,0.0,0.32144947490987363,0.4569699194837724,0.2638113734189154,0.3618273750219769,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05759999476140365,open_loop,0.0,0.45304369926452637
4,1786852975.3126407,-1.1609223782912783,0.0,0.0,0.4061765624748857,0.3789491036756768,0.2703552939814667,0.4498284494347733,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.0537999949301593,open_loop,0.0,0.6035313606262207
5,1786852975.463133,-1.0637276307422994,0.0,0.0,0.3034173390231886,0.5110806547321955,0.31709041837248436,0.266717949833058,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.052299998060334474,open_loop,0.0,0.7540237903594971
6,1786852975.6136546,-1.2112460372289113,0.0,0.0,0.3675242809270293,0.25868518223033016,0.32306519941402406,0.4023389626035577,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.0518000015290454,open_loop,0.0,0.9045453071594238
7,1786852975.7641206,-1.3836905693273978,0.0,0.0,0.20122710975769362,0.07555802486961177,0.29662041319709526,0.13729717154571788,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05310000415192917,open_loop,0.0,1.05501127243042
8,1786852975.9145904,-1.3117842375123123,0.0,0.0,0.18546037164774756,0.25218615550479956,0.35329830556856984,0.18604347617551026,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05219999729888514,open_loop,0.0,1.2054810523986816
9,1786852976.0651095,-1.441718906245549,0.0,0.0,0.3060408374346232,0.03574820082228203,0.4107438705278812,0.36505845791816666,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05119999696034938,open_loop,0.0,1.3560001850128174
10,1786852976.2155666,-1.287767900358857,0.0,0.0,0.25969393250859063,0.31136449583180076,0.43094484310884196,0.24717125125803058,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05239999882178381,open_loop,0.0,1.5064573287963867
11,1786852976.366048,-1.0427714717836476,0.0,0.0,0.2161827828584222,0.5953803912735174,0.39654914888551374,0.2048754252975182,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05190000229049474,open_loop,0.0,1.6569387912750244
12,1786852976.5165336,-1.1630703202941135,0.0,0.0,0.41785288819852384,0.3185264240120477,0.4044889746836579,0.5116232113477356,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05239999882178381,open_loop,0.0,1.8074243068695068
13,1786852976.6670492,-1.0249739493560541,0.0,0.0,0.3782874945444308,0.5673636032851895,0.4760686149838784,0.368671175267559,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05270000110613182,open_loop,0.0,1.957939863204956
14,1786852976.8175197,-1.1348033735999203,0.0,0.0,0.33581805409233345,0.35128026682049796,0.4998912464623916,0.32495714333060277,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.07349999941652641,open_loop,0.0,2.108410358428955
15,1786852976.9680464,-1.1898711940515494,0.0,0.0,0.3471943900395199,0.3196817051369707,0.5413129988845301,0.35941024059176796,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.06660000508418307,open_loop,0.0,2.258937120437622
16,1786852977.1181176,-1.491386921717948,0.0,0.0,0.3934080056858046,-0.08745455419290055,0.554128900590913,0.4205541189662376,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05340000643627718,open_loop,0.0,2.409008264541626
